system_id,system_name,business_unit,owner,purpose,ai_technique,decision_autonomy,data_categories_processed,affects_individuals,deployment_status,build_type,last_review_date
NS-AI-001,Retail Credit Scoring Model,Lending,Head of Credit Risk,Determines creditworthiness and assigns credit limits for personal loan applicants,Gradient-boosted decision tree,Fully automated; manual override available on appeal,"Credit bureau data, income, employment history, repayment history",Yes,Production,Internal,2026-04-15
NS-AI-002,Real-Time Fraud Detection Engine,Payments,Head of Fraud Operations,Scores transactions in real time and can hold or decline payments suspected of fraud,Ensemble model (XGBoost + rules engine),Fully automated; transaction is held pending review above a risk threshold,"Transaction metadata, device fingerprint, geolocation, historical spend pattern",Yes,Production,Internal,2026-03-20
NS-AI-003,Customer Service Virtual Assistant,Customer Experience,Head of Digital Channels,Handles routine customer queries about accounts, products, and balances via web chat,Large language model (RAG over product knowledge base),Escalates to human agent when confidence is low or customer requests it,"Account metadata, chat transcripts, product holdings",Yes,Production,Vendor (third-party LLM API),2026-02-10
NS-AI-004,Recruitment CV Screening Tool,Human Resources,Head of Talent Acquisition,Screens incoming job applications and produces a ranked shortlist for recruiters,NLP classifier + keyword and competency matching,Recommendation only; recruiter makes the final shortlisting decision,"CV content, education history, employment history, demographic fields collected at application",Yes,Production,Vendor,2025-11-30
NS-AI-005,Marketing Offer Personalisation Engine,Marketing,Head of Marketing,Selects which product offers and messaging each customer sees in the app and via email,Collaborative filtering + customer segmentation clustering,Fully automated,"Browsing behaviour, transaction history, product holdings, demographic segment",Yes,Production,Internal,2026-01-22
NS-AI-006,Anti-Money-Laundering Transaction Monitoring,Financial Crime Compliance,Head of Financial Crime,Flags transactions and customer behaviour patterns indicative of potential money laundering for investigator review,Supervised anomaly detection model,Recommendation only; every flag is reviewed by a human investigator before any action is taken,"Transaction history, counterparty data, KYC and customer due diligence data",Yes,Production,Internal,2026-05-01
NS-AI-007,Loan Application Document Extraction,Lending Operations,Head of Loan Operations,Extracts structured data fields (income, employer, address) from uploaded loan supporting documents,Computer vision OCR model,Fully automated extraction; output feeds into NS-AI-001 but makes no decision itself,Document images containing personal and financial data,No,Production,Vendor,2025-09-18
NS-AI-008,Employee Productivity Analytics Dashboard,People Operations,Head of People Analytics,Aggregates internal tool usage and ticket throughput to surface team-level productivity trends for managers,Statistical aggregation and trend dashboarding,No automated decision about any individual; outputs are team-level aggregates only,"Tool usage logs, login timestamps, ticket counts",Yes,Pilot,Internal,2026-06-01
NS-AI-009,Internal IT Helpdesk Ticket Router,IT Operations,Head of IT Service Management,Classifies and routes internal IT support tickets to the correct resolver queue,Text classification model,Fully automated routing; does not affect any customer or employee's legal or financial standing,Ticket text content submitted by employees,No,Production,Internal,2025-12-05
NS-AI-010,Voice Biometric Caller Authentication,Fraud Operations,Head of Fraud Operations,Authenticates customers calling the contact centre by matching their voiceprint against an enrolled profile,Biometric voiceprint matching model,Fully automated authentication decision; failure routes to manual identity verification,Voiceprint biometric data,Yes,Pilot,Vendor,2026-05-28
